learner_code,amount_paid,date_paid,payment_method,reference_number
FRESH1001,1838.00,2026-08-05,Bank Transfer,FRESH-EFT-1001
FRESH1002,1475.00,2026-08-05,Card,FRESH-CARD-1002
FRESH1003,1888.00,2026-08-05,Cash,FRESH-CASH-1003
FRESH1004,1888.00,2026-08-06,Mobile Money,FRESH-MOMO-1004
FRESH1005,1888.00,2026-08-06,Bank Transfer,FRESH-EFT-1005
FRESH1006,1888.00,2026-08-06,Card,FRESH-CARD-1006
FRESH1007,1888.00,2026-08-07,Cash,FRESH-CASH-1007
FRESH1008,2750.00,2026-08-07,Bank Transfer,FRESH-EFT-1008
FRESH1009,2750.00,2026-08-07,Mobile Money,FRESH-MOMO-1009
FRESH1010,2750.00,2026-08-08,Bank Transfer,FRESH-EFT-1010
